City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Kruisfontein,ZA,-34.0033,24.7314,52.68,78,77,8.55,broken clouds
199,Ozorkow,PL,51.9634,19.2914,50.61,97,100,6.93,overcast clouds
200,Veraval,IN,20.9,70.3667,79.38,77,43,9.04,scattered clouds
201,Roma,US,43.2128,-75.4557,67.87,94,75,0.0,broken clouds
202,Yelizovo,RU,53.1873,158.3805,51.94,100,100,13.42,light intensity shower rain
203,Porto Velho,BR,-8.7619,-63.9039,93.25,40,20,9.22,few clouds
204,Raahe,FI,64.6833,24.4833,48.29,85,100,26.17,overcast clouds
205,Muhos,FI,64.808,25.9931,47.98,85,100,13.13,overcast clouds
206,Kapaa,US,22.0752,-159.319,84.52,67,20,14.97,few clouds
207,Mizan Teferi,ET,6.9833,35.5833,61.43,96,94,3.47,light rain
208,Marseille,FR,43.3333,5.5,65.88,31,7,4.9,clear sky
209,Flinders,AU,-34.5833,150.8552,53.38,78,3,4.0,clear sky
210,Castro,BR,-24.7911,-50.0119,62.01,78,98,4.92,heavy intensity rain
211,Sheltozero,RU,61.3667,35.3667,49.89,93,100,11.14,light rain
212,Preobrazheniye,RU,42.9019,133.9064,40.64,57,0,9.04,clear sky
213,Souillac,MU,-20.5167,57.5167,70.18,78,20,11.5,light rain
214,Namanga,KE,-2.5433,36.7905,66.88,75,43,8.77,scattered clouds
215,Leh,IN,34.1667,77.5833,55.44,26,0,3.36,clear sky
216,Kashiwazaki,JP,37.3667,138.55,69.13,95,100,25.01,moderate rain
217,Merauke,ID,-8.4667,140.3333,77.94,88,11,12.95,few clouds
218,Houma,US,29.5958,-90.7195,93.0,55,40,8.05,scattered clouds
219,Aklavik,CA,68.2191,-135.0107,57.2,44,20,3.44,few clouds
220,Cedral,MX,23.8,-100.7333,78.64,42,62,14.94,broken clouds
221,Orange,US,33.7,-117.7675,89.67,54,20,8.05,few clouds
222,Saqqez,IR,36.2499,46.2735,67.01,18,3,3.11,clear sky
223,Salto,UY,-31.3833,-57.9667,69.96,69,40,8.05,scattered clouds
224,Kavaratti,IN,10.5669,72.642,80.87,77,86,12.28,overcast clouds
225,Buraydah,SA,26.326,43.975,91.85,13,12,11.5,few clouds
226,Port Lincoln,AU,-34.7333,135.8667,61.63,58,100,16.22,light rain
227,Luanda,AO,-8.8368,13.2343,70.99,90,7,11.03,clear sky
228,Takoradi,GH,4.8845,-1.7554,75.13,91,100,8.3,overcast clouds
229,Bosaso,SO,11.2842,49.1816,88.86,53,89,3.29,overcast clouds
230,Acapulco,MX,16.8634,-99.8901,84.02,79,75,9.22,broken clouds
